"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2017",621.538,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2017",984.722,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2017",438.906,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2017",286.08,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2017",849.39,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2017",1818.525,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2017",1064.485,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2017",1143.075,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2017",782.889,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2017",553.436,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2017",828.16,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2017",756.337,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2017",905.506,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2017",468.706,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2017",2374.822,"U",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2017",954.579,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2017",1888.692,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2017",1176.197,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2017",1267.272,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2017",836.293,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2017",677.996,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2017",917.689,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2017",860.903,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2017",928.341,"B",,"T30:20_I11:264","R1:3513"
